Group,Species,N_Years,First_Year,Last_Year,N_Records,Mean_growth_rate,Lower_CI,Upper_CI,Precision
Moths,Leucochlaena oditis,45,1971,2015,546,-0.1361,-2.145667323,2.064220514,1.036212429
Spiders,Anyphaena accentuata,42,1972,2013,1436,1.6063,-0.310009452,3.607294861,1.036245466
Leaf&SeedBeetles,Longitarsus jacobaeae,43,1973,2015,241,-0.5744,-2.753939323,1.377577083,1.037057503
Wasps,Ectemnius lituratus,46,1970,2015,977,1.1958,-0.257046033,3.471997927,1.038234499
Spiders,Sitticus pubescens,44,1970,2013,215,-0.4553,-2.49749253,1.374614017,1.038848686
Wasps,Crossocerus wesmaeli,43,1972,2014,755,-1.1617,-3.113928311,0.808291564,1.039941843
Lichens,Megalaria pulverea,46,1970,2015,444,2.4275,0.636062867,4.432487948,1.040466826
Weevils,Micrelus ericae,46,1970,2015,625,0.7197,-1.158793569,2.765720693,1.041469969
Empid&DolichopodidFlies,Campsicnemus loripes,44,1972,2015,221,0.3976,-1.612457631,2.389383991,1.041473613
NonmarineMolluscs,Zonitoides nitidus,46,1970,2015,272,-2.1612,-4.099762559,-0.183352034,1.042222606
Carabids,Amara tibialis,44,1971,2014,380,0.7614,-1.07103621,2.806545129,1.043148953
Empid&DolichopodidFlies,Empis femorata,45,1970,2014,185,0.1389,-1.817942866,2.061355368,1.043208641
PlantBugs,Orthocephalus saltator,42,1974,2015,249,1.5498,-0.149463555,3.916893965,1.043384209
NonmarineMolluscs,Anodonta anatina,46,1970,2015,145,-3.0852,-5.141031283,-1.178192679,1.044110633
Lichens,Verrucaria caerulea,43,1972,2014,74,1.6508,-0.426669404,3.631147861,1.044367448
Lichens,Collema tenax var. ceranoides,44,1972,2015,197,0.5489,-1.199675352,2.618843782,1.044707102
Spiders,Ceratinella brevis,44,1970,2013,600,-3.2827,-5.194290711,-1.447189156,1.044725868
Spiders,Dicymbium tibiale,44,1970,2013,348,0.3568,-1.671162033,2.257189128,1.045048808
Spiders,Pardosa purbeckensis,43,1971,2013,286,1.4134,-0.345759954,3.449837271,1.04675958
Empid&DolichopodidFlies,Bicellaria intermedia,43,1972,2014,133,-0.8213,-2.704087409,1.05697007,1.04731426
Hoverflies,Pipiza bimaculata,45,1970,2014,181,-1.0926,-3.096956576,0.821850654,1.04849041
Weevils,Orchestes signifer,46,1970,2015,321,0.7443,-1.036733095,2.875093707,1.048759873
Spiders,Walckenaeria cucullata,44,1970,2013,374,-5.6569,-7.619740118,-3.751911049,1.049468866
Lichens,Bacidia phacodes,46,1970,2015,90,-0.0898,-1.883206665,1.910032981,1.049925541
Weevils,Oxystoma subulatum,46,1970,2015,379,1.3294,-0.51754039,3.392994483,1.049979379
Bees,Osmia spinulosa,46,1970,2015,1008,2.1036,0.391547686,4.170685093,1.050527127
Bees,Andrena ovatula,46,1970,2015,841,-0.3938,-2.27215522,1.647831075,1.051110301
Carabids,Carabus violaceus,45,1970,2014,591,0.0927,-1.820207099,2.097742671,1.053455088
Weevils,Protapion ononidis,46,1970,2015,243,1.0193,-1.065092163,2.885912411,1.053773958
Weevils,Notaris scirpi,45,1971,2015,213,-0.021,-2.086766311,1.775778228,1.054866233
Craneflies,Ormosia lineata,46,1970,2015,125,0.5313,-1.38201266,2.52472456,1.055511015
Lichens,Micarea bauschiana,46,1970,2015,89,-0.6202,-2.667744745,1.105900541,1.056207077
Bryophytes,Plagiobryum zieri,46,1970,2015,153,-0.907,-2.974128214,1.093731535,1.056314709
Craneflies,Ellipteroides lateralis,43,1973,2015,160,1.4257,-0.250809744,3.619147901,1.057990292
PlantBugs,Nabis lineatus,42,1974,2015,106,-0.1417,-1.972516855,1.78455455,1.058145181
Lichens,Dermatocarpon luridum,45,1970,2014,148,-0.4931,-2.346577391,1.42595243,1.059355176
Bryophytes,Pohlia lutescens,45,1970,2014,140,-1.0983,-3.099492562,0.871881072,1.061004297
Bryophytes,Loeskeobryum brevirostre,46,1970,2015,480,0.123,-1.49794147,2.203830924,1.062621657
Bees,Hylaeus brevicornis,44,1972,2015,788,-0.5759,-2.459256179,1.599418659,1.062768974
SoldierBeetles,Lampyris noctiluca,46,1970,2015,433,-1.0089,-3.101475121,0.824698763,1.064307887
FungusGnats,Mycomya neohyalinata,38,1974,2011,88,0.5964,-0.991147471,2.668201288,1.064638442
Soldierflies,Chrysops caecutiens,46,1970,2015,337,-3.5886,-5.65492172,-1.897338204,1.065339615
FungusGnats,Mycetophila britannica,39,1973,2011,322,1.4133,-0.140171069,3.471132,1.065350695
Wasps,Dipogon variegatus,46,1970,2015,250,1.151,-0.444160708,3.417650976,1.065709142
Leaf&SeedBeetles,Phaedon armoraciae,46,1970,2015,365,-0.902,-2.904919214,0.891760724,1.065902776
NonmarineMolluscs,Ena montana,45,1971,2015,134,0.7428,-0.955782904,2.869393667,1.066692974
Moths,Moma alpium,46,1970,2015,471,0.2707,-1.539976465,2.333347572,1.066899873
Bees,Nomada flavoguttata,46,1970,2015,1659,0.9672,-0.697581733,3.043202039,1.067109039
Weevils,Apion frumentarium,46,1970,2015,818,2.5908,0.894673024,4.536905138,1.06835427
Gelechiids,Eulamprotes wilkella,36,1977,2012,191,-0.0547,-1.914984176,2.144194152,1.069126381
Moths,Lithosia quadra,46,1970,2015,6006,2.7887,0.989048319,4.69096405,1.071352055
Ants,Formica cunicularia,46,1970,2015,785,-2.0789,-3.951836021,-0.173747467,1.072520405
Hoverflies,Sphegina elegans,45,1970,2014,588,-0.2877,-2.067360328,1.557712322,1.073086632
Bees,Bombus jonellus,46,1970,2015,1441,0.7008,-1.0718568,2.669665213,1.073980953
Wasps,Ectemnius rubicola,46,1970,2015,270,-0.5586,-2.302731472,1.39253348,1.074018208
Carabids,Calathus rotundicollis,44,1971,2014,357,-1.0328,-2.984858355,0.783839861,1.074221077
Hoverflies,Chrysogaster cemiteriorum,45,1970,2014,606,-0.7251,-2.420565762,1.399849931,1.074223656
PlantBugs,Himacerus major,46,1970,2015,422,-2.1664,-3.971523149,-0.163909483,1.074409593
Weevils,Otiorhynchus ligneus,46,1970,2015,218,-1.8543,-3.76211496,-0.028463537,1.074437373
Caddisflies,Limnephilus rhombicus,44,1970,2013,293,-0.6684,-2.544403532,1.1407215,1.074760303
Spiders,Clubiona corticalis,44,1970,2013,464,-1.9462,-3.809544963,-0.064168467,1.074840796
Hoverflies,Platycheirus angustatus,45,1970,2014,1944,-0.3261,-2.052679447,1.782732031,1.075925714
Spiders,Steatoda phalerata,43,1971,2013,202,0.7214,-1.125539117,2.64813605,1.076009118
Lichens,Rhizocarpon petraeum,46,1970,2015,355,-2.0832,-3.928468595,-0.262665329,1.076801634
Lichens,Lepraria membranacea,46,1970,2015,314,-4.2735,-6.212754018,-2.515284963,1.077311921
Leaf&SeedBeetles,Cassida rubiginosa,45,1971,2015,1210,2.0584,0.406901467,4.087600462,1.078354256
Weevils,Aspidapion aeneum,44,1972,2015,294,2.1131,0.394569076,4.181012682,1.080467796
Lichens,Lecidea grisella,46,1970,2015,184,0.0371,-1.775792988,2.203403992,1.080958783
Ladybirds,Subcoccinella vigintiquattuorpunctata,44,1972,2015,2134,2.0635,0.328128497,3.996825718,1.08104032
Wasps,Crossocerus elongatulus,46,1970,2015,872,-0.0584,-1.80204732,1.86646354,1.082363492
Carabids,Broscus cephalotes,42,1970,2011,266,-1.5038,-3.496779268,0.231460307,1.08351358
Bryophytes,Didymodon vinealis,45,1971,2015,1570,2.2998,0.511364641,4.228726514,1.083784498
PlantBugs,Dicyphus stachydis,46,1970,2015,846,-1.442,-3.084016807,0.658572652,1.084215074
Bryophytes,Lophozia excisa,45,1970,2014,203,-0.8309,-2.642336705,1.043100043,1.084224865
Orthoptera,Chorthippus albomarginatus,45,1971,2015,1799,-0.6101,-2.49541116,1.223812443,1.085228494
Lichens,Buellia disciformis,46,1970,2015,308,-2.5592,-4.475747269,-0.726647424,1.086511195
Weevils,Nanophyes marmoratus,45,1971,2015,539,1.6416,-0.040525376,3.733857414,1.086621374
Empid&DolichopodidFlies,Platypalpus minutus agg.,43,1972,2014,389,-0.345,-2.289254121,1.562211716,1.088201399
Empid&DolichopodidFlies,Platypalpus pectoralis,44,1971,2014,203,-0.4318,-2.294892227,1.468273437,1.088429685
Craneflies,Gonomyia dentata,42,1973,2014,82,-0.0309,-1.776105002,1.965274741,1.08865636
Lichens,Cladonia subulata,46,1970,2015,402,-0.6693,-2.508061452,1.202135233,1.088935173
Bryophytes,Fissidens crassipes,44,1972,2015,255,0.133,-1.750497485,2.080061708,1.08895964
Lichens,Rinodina sophodes,46,1970,2015,223,0.5292,-1.164955402,2.747144232,1.089762557
AquaticBugs,Gerris odontogaster,43,1970,2012,678,0.5038,-1.215359366,2.500052526,1.090074429
Bryophytes,Neckera pumila,46,1970,2015,494,-1.2357,-3.116030875,0.564500325,1.090542552
Empid&DolichopodidFlies,Platypalpus pallipes,40,1975,2014,117,-1.1381,-3.136362798,0.665105679,1.092319371
Craneflies,Trichocera annulata,44,1972,2015,141,1.2012,-0.593653217,2.996392486,1.092976451
FungusGnats,Diadocidia spinosula,41,1971,2011,101,0.6991,-0.568629621,3.346104502,1.093503931
Carabids,Cychrus caraboides,45,1970,2014,381,0.0719,-1.67436766,2.180525553,1.096744442
Empid&DolichopodidFlies,Hilara anglodanica,44,1971,2014,239,-1.1588,-3.032793664,0.450357277,1.097010357
Weevils,Protapion nigritarse,45,1971,2015,534,1.662,-0.081217263,3.660733445,1.097502602
Ants,Lasius umbratus,46,1970,2015,98,-0.1683,-1.917682587,2.067003733,1.0977417
Caddisflies,Beraea maurus,44,1970,2013,332,0.6184,-1.130479936,2.636299889,1.098330567
Bees,Colletes fodiens,46,1970,2015,591,0.1907,-1.674836642,2.217264589,1.098829455
Bryophytes,Solenostoma paroicum,46,1970,2015,89,-0.3272,-2.575267982,1.175560372,1.099030391
Bryophytes,Plagiomnium cuspidatum,46,1970,2015,181,-1.9116,-3.781643065,-0.078796764,1.099615499
Bees,Lasioglossum cupromicans,45,1971,2015,306,-0.492,-2.472927075,1.37734004,1.099675286
Empid&DolichopodidFlies,Oedalea stigmatella,43,1972,2014,181,0.0706,-1.644335116,2.204454694,1.099812602
Bryophytes,Hygroamblystegium varium,46,1970,2015,114,-1.0686,-3.013114817,0.763484147,1.099873591
Moths,Eilema sororcula,46,1970,2015,12852,5.7319,4.162406437,7.935154232,1.1001803
Leaf&SeedBeetles,Phratora laticollis,45,1971,2015,240,-0.6437,-2.555425013,1.406034532,1.101306736
Lichens,Myriospora smaragdula,46,1970,2015,451,0.41,-1.576500908,2.184630025,1.101554527
Orthoptera,Platycleis albopunctata,46,1970,2015,390,-0.6812,-2.496652137,1.329791755,1.102082206
Spiders,Baryphyma trifrons,44,1970,2013,391,1.1457,-0.667331619,3.085274496,1.102826366
Bryophytes,Pseudocrossidium revolutum,45,1971,2015,609,1.1967,-0.495982917,3.195127502,1.103028194
PlantBugs,Psallus haematodes,45,1971,2015,235,-1.4067,-3.163995954,0.423565259,1.104231502
Empid&DolichopodidFlies,Platypalpus longiseta,45,1970,2014,520,0.274,-1.308800695,2.320158955,1.105457251
Bryophytes,Antitrichia curtipendula,41,1975,2015,129,-0.1372,-2.227717673,1.517723844,1.105859976
Bryophytes,Metzgeria pubescens,45,1971,2015,127,-1.9683,-3.758928371,-0.044974935,1.106074485
Carabids,Bembidion illigeri,43,1972,2014,321,-1.8351,-3.63570772,-0.032006221,1.106357247
NonmarineMolluscs,Pupilla muscorum,46,1970,2015,186,-2.1518,-4.215205486,-0.434360751,1.106773493
Centipedes,Haplophilus subterraneus,45,1971,2015,564,1.6229,0.018931362,3.700140837,1.106918236
Lichens,Physconia perisidiosa,45,1970,2014,114,-1.9714,-3.935587659,-0.390563213,1.107218933
Spiders,Ostearius melanopygius,44,1970,2013,344,0.3417,-1.316528329,2.564182564,1.10888431
Spiders,Clubiona pallidula,44,1970,2013,400,0.8582,-1.003519629,2.766681049,1.109188908
Lichens,Buellia ocellata,46,1970,2015,1216,2.8296,1.048940731,4.709530514,1.109201128
Wasps,Ectemnius sexcinctus,42,1974,2015,149,0.1251,-1.64823601,2.111490665,1.110145708
Weevils,Sitona lepidus,46,1970,2015,923,1.0556,-0.693279556,3.020285779,1.110181803
Carabids,Bembidion minimum,42,1971,2012,184,-0.8562,-2.805799484,0.836243335,1.110531477
Spiders,Pardosa palustris,44,1970,2013,1506,1.2723,-0.495615236,3.239500982,1.111048156
Weevils,Parethelcus pollinarius,46,1970,2015,875,0.7286,-0.820520247,2.792978579,1.111768954
Spiders,Drepanotylus uncatus,44,1970,2013,250,-2.3788,-4.178920244,-0.618238124,1.11241504
Weevils,Phyllobius viridicollis,46,1970,2015,170,-0.061,-1.764268426,2.017330072,1.112495615
Carabids,Calodromius spilotus,42,1971,2012,327,-0.7839,-2.514109737,1.148209601,1.112544554
Caddisflies,Anabolia nervosa,45,1970,2014,1190,0.2204,-1.633004316,2.195499324,1.113941633
PlantBugs,Stenotus binotatus,45,1971,2015,1198,0.4009,-1.109833058,2.720155029,1.114259738
Soldierflies,Vanoyia tenuicornis,42,1974,2015,146,-0.9376,-2.799780401,0.830855824,1.114323221
Lichens,Usnea florida,45,1971,2015,234,-1.7469,-3.556183957,0.155773913,1.116348457
Bryophytes,Hyocomium armoricum,45,1971,2015,908,1.9113,0.221173093,3.716558527,1.117891225
Moths,Eupithecia millefoliata,42,1974,2015,833,0.8144,-0.949861788,2.708752023,1.117937052
Soldierflies,Philonicus albiceps,44,1972,2015,167,-1.5022,-3.380878605,0.344589747,1.118399187
Moths,Xylena exsoleta,46,1970,2015,816,-2.9363,-4.719472565,-0.982058076,1.118531098
Wasps,Pemphredon inornata,46,1970,2015,816,0.2553,-1.511538072,2.144410015,1.119755898
Weevils,Sitona striatellus,46,1970,2015,678,0.0758,-1.601212445,2.089391568,1.121168096
Lichens,Melanohalea exasperata,46,1970,2015,273,-1.367,-3.192585089,0.504169382,1.121339857
Craneflies,Dicranomyia autumnalis,46,1970,2015,229,-1.0305,-2.89344844,0.624430734,1.122101987
Bryophytes,Ptilidium pulcherrimum,46,1970,2015,127,-3.5387,-5.405234673,-1.684536279,1.122201928
Dragonflies,Libellula fulva,46,1970,2015,2403,1.3551,-0.341470246,3.125478668,1.122681307
Bryophytes,Plagiomnium elatum,46,1970,2015,344,0.162,-1.719871607,1.979429644,1.123289994
Empid&DolichopodidFlies,Hilara manicata,43,1972,2014,149,-1.4014,-3.304281252,0.407931323,1.123533715
Ladybirds,Myzia oblongoguttata,39,1977,2015,160,-3.1606,-5.036307914,-1.32055786,1.124153006
Lichens,Cladonia ramulosa,44,1972,2015,509,1.7993,0.015154014,3.754056793,1.124501631
Bryophytes,Mylia anomala,46,1970,2015,308,-1.1524,-2.950580376,0.766208219,1.124992862
Moths,Idaea sylvestraria,45,1970,2014,418,-1.4495,-3.275490679,0.387183287,1.125687382
Moths,Eupithecia distinctaria,46,1970,2015,257,-0.9642,-2.707049724,0.969299609,1.126023264
Carabids,Dyschirius globosus,45,1970,2014,282,-0.1307,-2.050158402,1.706331993,1.127306291
Bryophytes,Hygrobiella laxifolia,45,1971,2015,78,0.2776,-1.829886405,2.010963042,1.127493035
Carabids,Trichocellus placidus,44,1971,2014,224,0.1611,-1.640972687,2.119514458,1.128866002
Gelechiids,Carpatolechia alburnella,44,1970,2013,185,-1.115,-3.23474768,0.590890447,1.129682649
AquaticBugs,Hydrometra stagnorum,46,1970,2015,1424,2.4839,0.791720401,4.421744952,1.130766041
Moths,Amphipoea crinanensis,46,1970,2015,1189,-0.985,-2.64377552,0.90378223,1.13097084
Spiders,Floronia bucculenta,44,1970,2013,292,-2.2945,-4.081761518,-0.465690868,1.131151894
Weevils,Holotrichapion ononis,44,1972,2015,304,0.0994,-1.71571509,1.942776005,1.132455837
PlantBugs,Aradus depressus,46,1970,2015,117,-0.8752,-3.048715937,0.580847024,1.133978702
Leaf&SeedBeetles,Bruchidius villosus,44,1972,2015,188,-0.6493,-2.549340236,1.028796492,1.135164643
Carabids,Olisthopus rotundatus,44,1971,2014,243,0.4001,-1.485037861,2.292769358,1.13537954
Carabids,Notiophilus germinyi,43,1972,2014,168,-0.5612,-2.295759495,1.492026067,1.135431233
Moths,Hadena luteago,46,1970,2015,272,-0.6571,-2.593052953,0.90521183,1.135724125
Bryophytes,Jungermannia exsertifolia,45,1971,2015,174,0.172,-1.542859676,2.216325219,1.137452094
Bees,Andrena marginata,43,1971,2013,192,-1.0959,-2.916545423,0.666550057,1.137730986
Bees,Andrena denticulata,44,1972,2015,547,-0.1025,-1.777903811,1.903925545,1.138934291
Empid&DolichopodidFlies,Empis caudatula,44,1971,2014,248,-0.7903,-2.749410936,0.988629049,1.139328903
Bees,Lasioglossum albipes,46,1970,2015,1654,-0.0385,-1.643717847,1.99758177,1.139498616
Millipedes,Blaniulus guttulatus,38,1972,2009,359,1.8578,0.117098089,3.806747495,1.139525392
Lichens,Micarea prasina s. lat.,46,1970,2015,636,2.0638,0.273244336,4.022108442,1.139633257
Bees,Hylaeus hyalinatus,46,1970,2015,941,0.2233,-1.496058928,2.137527014,1.140532386
Orthoptera,Leptophyes punctatissima,46,1970,2015,4792,0.7342,-0.826240438,3.025145779,1.140931402
Soldierflies,Chrysops viduatus,45,1971,2015,171,-0.6767,-2.783044018,0.781241147,1.141498651
NonmarineMolluscs,Pisidium casertanum,45,1970,2014,136,-3.8214,-5.780316367,-2.063439666,1.143185127
Carabids,Synuchus vivalis,42,1971,2012,65,-0.6083,-2.638236723,0.826465805,1.144277816
FungusGnats,Phronia braueri,39,1973,2011,119,0.3291,-1.19492112,2.575019808,1.145128196
Weevils,Tychius picirostris,46,1970,2015,992,2.1324,0.485432603,4.112912167,1.14533257
Carabids,Bembidion mannerheimii,44,1971,2014,296,0.548,-1.205159468,2.410922423,1.146082953
Bryophytes,Hedwigia ciliata s.l.,43,1973,2015,384,0.6688,-1.076544376,2.519702507,1.146435123
Lichens,Ramalina calicaris,45,1970,2014,144,-1.9939,-3.855013085,-0.217690988,1.147206308
Moths,Mythimna albipuncta,42,1974,2015,22264,5.5993,3.889378184,7.565572239,1.148366065
AquaticBugs,Sigara nigrolineata,44,1970,2013,818,-0.7832,-2.543588074,1.216472421,1.148589747
Hoverflies,Meliscaeva cinctella,45,1970,2014,3412,0.2076,-1.539779104,2.186951522,1.148995447
Mayflies,Baetis vernus,38,1978,2015,3100,-0.622,-2.54615146,0.992172517,1.149657552
Wasps,Pseudomalus auratus,46,1970,2015,389,-0.6762,-2.661112117,1.114383046,1.150527841
SoldierBeetles,Cantharis livida,44,1972,2015,266,0.4231,-1.274651282,2.272037332,1.15358546
Bryophytes,Tritomaria exsectiformis,46,1970,2015,135,-0.3717,-2.274554836,1.662010685,1.154377256
Moths,Hydraecia petasitis,46,1970,2015,777,-0.8462,-2.646325036,1.012944833,1.154759713
Bryophytes,Porella arboris-vitae,46,1970,2015,252,-1.5049,-3.285847322,0.312644432,1.155748796
Craneflies,Ilisia occoecata,46,1970,2015,126,-0.5241,-2.413655791,1.300257545,1.157086282
ShieldBugs,Picromerus bidens,46,1970,2015,387,-1.477,-2.966589487,0.55414408,1.157099068
Lichens,Xanthoparmelia loxodes,46,1970,2015,222,-2.0729,-4.004038949,-0.234511332,1.157195651
Lichens,Pertusaria flavida,46,1970,2015,124,-1.8555,-3.726663551,-0.009744658,1.157463427
Spiders,Agyneta decora,44,1970,2013,348,-1.3882,-3.068785668,0.596196168,1.158389568
FungusGnats,Phronia notata,36,1976,2011,76,0.4542,-0.719668743,2.765333495,1.158541894
Craneflies,Rhypholophus bifurcatus,46,1970,2015,164,-0.9746,-2.848524371,0.95937539,1.158865595
Moths,Photedes extrema,45,1970,2014,430,-2.2615,-4.143705075,-0.637171162,1.159655828
Craneflies,Epiphragma ocellare,46,1970,2015,448,1.0056,-0.724866827,2.885611312,1.160330056
Bryophytes,Fossombronia pusilla s.l.,45,1971,2015,352,-0.0283,-1.832477706,1.758337067,1.161001415
Weevils,Hypera postica,46,1970,2015,515,1.4994,-0.155211241,3.604403732,1.161288384
Bees,Bombus terrestris,46,1970,2015,9956,0.4102,-1.131442116,2.36062902,1.161427973
Moths,Cosmia diffinis,46,1970,2015,310,-3.4578,-5.072693575,-1.306487259,1.162118763
Gelechiids,Psoricoptera gibbosella,40,1974,2013,264,-1.0587,-2.814235619,0.731553697,1.162414401
PlantBugs,Plagiognathus arbustorum,46,1970,2015,2499,0.1343,-1.281753312,2.202248279,1.162528394
Weevils,Apoderus coryli,45,1971,2015,566,2.3258,0.591877212,4.235781741,1.162616249
Bees,Nomada leucophthalma,45,1971,2015,634,1.5785,0.039782982,3.541174508,1.162753469
Bryophytes,Porella cordaeana,46,1970,2015,189,-1.3902,-3.306339304,0.215275949,1.164345318
Gelechiids,Recurvaria leucatella,40,1974,2013,427,0.2971,-1.650608848,2.174904147,1.164510243
FungusGnats,Docosia sciarina,38,1974,2011,59,-0.3529,-2.691104287,1.190516744,1.164581229
PlantBugs,Atractotomus mali,46,1970,2015,264,-0.7258,-2.568594356,1.184295173,1.165297124
Lichens,Lepraria caesioalba,45,1970,2014,190,-1.6532,-3.485564907,0.089834789,1.16564922
Spiders,Minyriolus pusillus,44,1970,2013,278,-1.2469,-3.015944687,0.701824637,1.166290349
Empid&DolichopodidFlies,Oedalea holmgreni,44,1971,2014,415,-1.0577,-2.813581832,0.936016883,1.167373091
Empid&DolichopodidFlies,Argyra diaphana,40,1975,2014,236,0.8869,-0.700767012,2.888114145,1.167491993
FungusGnats,Rymosia virens,41,1971,2011,50,0.0089,-1.701808696,2.04553614,1.168025295
PlantBugs,Lygus rugulipennis,46,1970,2015,1421,0.0824,-1.373450568,2.585346818,1.168121317
Bryophytes,Bryum sauteri,44,1971,2014,54,-0.6266,-2.328768029,1.279617824,1.168522703
Craneflies,Ptychoptera minuta,43,1973,2015,123,-0.4915,-2.432756681,1.265460908,1.168734479
Hoverflies,Chrysotoxum festivum,45,1970,2014,1127,1.2814,-0.406441336,3.284150365,1.169600152
NonmarineMolluscs,Vallonia costata,46,1970,2015,264,-3.5205,-5.444151815,-1.838122947,1.171942048
Ants,Formica sanguinea,46,1970,2015,485,-0.5058,-2.328429697,1.214992766,1.172521695
SoldierBeetles,Cantharis pellucida,46,1970,2015,595,-0.5347,-2.565541959,1.234969112,1.174576995
NonmarineMolluscs,Theodoxus fluviatilis,45,1970,2014,70,-0.9469,-3.260746528,0.145876736,1.176592639
Moths,Phibalapteryx virgata,46,1970,2015,745,-1.9897,-3.810693405,-0.029954652,1.178379469
Gelechiids,Aristotelia ericinella,44,1970,2013,510,-1.7996,-3.71059966,-0.111499395,1.178990112
Caddisflies,Limnephilus centralis,45,1970,2014,327,-0.2014,-2.028395871,1.70503159,1.180494915
Hoverflies,Cheilosia vulpina,45,1970,2014,516,0.6991,-0.604476859,2.991312103,1.181089743
Bryophytes,Cephalozia connivens,45,1971,2015,592,0.2167,-1.50855138,2.046078492,1.181578528
Moths,Hemaris tityus,45,1971,2015,855,1.5363,-0.114168933,3.459794647,1.183262746
Bryophytes,Dicranella rufescens,45,1971,2015,455,0.8192,-0.881658146,2.79175653,1.183805773
Weevils,Romualdius angustisetulus,46,1970,2015,258,0.588,-1.234676577,2.301964673,1.184188322
Lichens,Lecidea fuscoatra s. lat.,46,1970,2015,1240,-1.8198,-3.689430187,0.026573033,1.184879586
Bryophytes,Fissidens osmundoides,46,1970,2015,423,0.8063,-0.770593887,2.845657422,1.185350041
Moths,Idaea rusticata,46,1970,2015,12972,5.3092,3.655728338,7.29581193,1.185763953
Wasps,Cerceris rybyensis,44,1972,2015,1796,3.8699,2.288584533,5.834317933,1.186047659
ShieldBugs,Legnotus limbosus,39,1977,2015,132,-0.2165,-2.111898364,1.630943614,1.186361294
Moths,Cleora cinctaria,46,1970,2015,501,-3.5411,-5.437951594,-1.764810306,1.1864312
Millipedes,Brachydesmus superus,39,1970,2008,535,0.1983,-1.329862041,2.523050426,1.186533963
Empid&DolichopodidFlies,Empis trigramma,45,1970,2014,292,-0.598,-2.51826225,1.135377187,1.187059714
Bees,Nomada fabriciana,46,1970,2015,1709,1.6421,-0.104129232,3.481064591,1.187863811
Spiders,Gonatium rubellum,44,1970,2013,547,-0.3455,-2.117276206,1.398953124,1.188588684
Bryophytes,Sphagnum teres,45,1971,2015,326,0.5989,-1.206849864,2.485504208,1.18948051
Carabids,Nebria salina,44,1971,2014,349,0.727,-0.890639591,2.837623152,1.19127684
Empid&DolichopodidFlies,Hilara rejecta,43,1972,2014,149,-0.2472,-2.197799792,1.472860223,1.191349998
Moths,Eupithecia pygmaeata,46,1970,2015,390,0.106,-1.577602695,2.012550964,1.192978567
Lichens,Stenocybe septata,46,1970,2015,248,-0.8325,-2.502245362,1.067290684,1.193197725
Lichens,Haematomma ochroleucum var. ochroleucum,46,1970,2015,305,-1.4696,-3.234784821,0.323319751,1.19379924
Millipedes,Cylindroiulus britannicus,34,1976,2009,289,2.244,0.402775683,4.060542995,1.194618707
PlantBugs,Lopus decolor,45,1971,2015,312,-0.4839,-2.518692579,1.151659912,1.194720083
Spiders,Araniella opisthographa,44,1970,2013,830,2.1619,0.542581013,4.213365992,1.195105628
Lichens,Caloplaca thallincola,46,1970,2015,141,-1.0526,-2.901369051,0.724981845,1.19663139
Spiders,Mangora acalypha,44,1970,2013,447,5.3641,3.701840315,7.16341237,1.196761036
Weevils,Coeliodes rana,46,1970,2015,424,-0.9497,-2.81155567,0.811557726,1.19777707
Weevils,Orobitis cyaneus,46,1970,2015,123,0.1194,-1.785585737,1.938519657,1.198712567
Weevils,Rhinusa antirrhini,46,1970,2015,303,-0.2745,-2.043382209,1.469361086,1.200399305
Carabids,Agonum muelleri,44,1971,2014,443,-0.2478,-2.253704167,1.687889528,1.200597094
Bees,Andrena bimaculata,45,1971,2015,415,1.0077,-0.822907314,2.824432353,1.202091435
Spiders,Lathys humilis,44,1970,2013,753,2.8728,1.173804303,4.72882932,1.20273192
Wasps,Vespula rufa,44,1972,2015,1058,-3.21,-5.021724284,-1.404452067,1.203502983
Moths,Sesia bembeciformis,46,1970,2015,677,0.959,-0.849874166,2.885502705,1.203729797
Leaf&SeedBeetles,Phratora vulgatissima,45,1971,2015,571,0.092,-1.707491935,1.826863841,1.205808669
Carabids,Pogonus chalceus,43,1971,2013,206,-0.2366,-1.960350514,1.572941585,1.206160531
NonmarineMolluscs,Leiostyla anglica,46,1970,2015,208,-2.1518,-3.823299729,-0.231628271,1.207537168
Weevils,Coeliodinus rubicundus,45,1971,2015,263,-1.8527,-3.527202979,0.167380739,1.208344341
Bryophytes,Scapania umbrosa,46,1970,2015,264,-1.102,-2.720175102,0.953109805,1.209565571
Caddisflies,Cyrnus flavidus,44,1970,2013,821,-1.4578,-3.143438281,0.390957256,1.211429678
Bryophytes,Dicranella staphylina,46,1970,2015,1323,-0.0067,-1.797637226,1.781096557,1.211431896
Spiders,Hilaira excisa,44,1970,2013,389,-0.0186,-1.764353992,1.770492566,1.212156955
Carabids,Pterostichus diligens,45,1970,2014,847,0.8247,-0.997574913,2.706946824,1.215680356
Carabids,Amara lunicollis,43,1972,2014,234,-0.0601,-1.881170059,1.86951759,1.215756229
Carabids,Ophonus rufibarbis,43,1970,2012,241,0.0051,-1.591290397,1.908104371,1.216003011
Craneflies,Gonempeda flava,45,1970,2014,116,-2.3148,-4.124577205,-0.758179246,1.21602479
Caddisflies,Agrypnia varia,44,1970,2013,220,-0.507,-2.217109964,1.35683637,1.21617724
Bryophytes,Bryum ruderale,44,1972,2015,704,0.6998,-1.025539193,2.470098101,1.216295799
FungusGnats,Phronia conformis,39,1973,2011,185,1.1634,-0.105919391,3.267564697,1.216405147
